time (s),thrust (m/s^2),acc (m/s^2),rotation rate (rad/s)
0,-1.086364259,-0.607267263,0.178617552
0.01,-0.53247157,1.106962528,-0.000627647
0.02,0.404823456,-0.372436762,-0.605093392
0.03,0.943489581,-0.087998875,0.051269744
0.04,-0.686867044,1.246056621,0.436975235
0.05,-1.006917719,0.141752192,0.026004693
0.06,1.780112177,1.223587049,1.283289461
0.07,0.45412988,0.497838366,0.164298009
0.08,0.194393478,-0.297330045,-0.340518796
0.09,1.193740662,-1.146597024,-0.495369609
0.1,1.357221747,0.534695039,-0.263504074
0.11,-1.335150855,-0.045065491,-0.081969286
0.12,0.366926212,0.767757222,0.571237335
0.13,0.814681713,0.886212636,-0.508825507
0.14,-1.194239318,-0.642138131,0.117690808
0.15,-0.005740157,-1.913802842,-0.437751262
0.16,0.296583873,-0.800107367,0.767810235
0.17,-0.265265292,0.447262657,-0.25453378
0.18,0.948361868,-0.63792411,-0.008985143
0.19,-0.071881766,-1.453578631,0.388760051
0.2,0.60971789,-2.764158646,0.238386878
0.21,-0.357015521,0.727301716,-0.603733357
0.22,-0.46107502,-0.546611639,0.185185283
0.23,0.196649279,0.324345613,-0.613876707
0.24,-0.61100294,-0.972996789,0.404118149
0.25,-0.046281447,0.550484778,-0.500632855
0.26,-0.200372105,0.632149659,-0.117658157
0.27,-0.444823534,-0.949677312,-0.216384095
0.28,-0.752347675,0.417871677,0.506144213
0.29,-1.214300814,-0.305816417,-0.003490768
0.3,-0.441001092,-1.106266957,-0.134038978
0.31,-0.157318938,0.870944665,0.467052852
0.32,0.81494149,0.933092837,-0.353310591
0.33,0.723091627,-1.506607018,0.029830068
0.34,-1.517622597,0.945207927,-0.311977725
0.35,1.306209909,0.751718371,-0.079218934
0.36,0.44353617,0.14142598,0.217498979
0.37,0.120096416,-1.140321961,0.424701331
0.38,0.774626161,-1.21159369,0.44657553
0.39,0.348371006,0.354961797,-0.145859521
0.4,0.578219311,1.143839105,0.645498311
0.41,-0.458884641,0.888290351,-0.430110212
0.42,0.434984643,0.035970601,-0.844300855
0.43,0.517126972,-1.160762775,0.659696722
0.44,0.865938191,1.212149234,-0.187337623
0.45,-0.30788592,0.327710568,-0.040202482
0.46,-0.393232623,0.09116288,-0.391814392
0.47,-0.943718618,0.857222803,-1.138242965
0.48,0.005346454,-0.288728362,0.136457198
0.49,0.275027695,-0.057575937,-0.148376869
0.5,0.656740864,1.582180936,0.655997033
